"id","name","grid","homepage","rdf-schema#seeAlso","owl#sameAS","created"
"6090238","Iwate Prefectural University","grid.443998.b","http://www.iwate-pu.ac.jp/","http://en.wikipedia.org/wiki/Iwate_Prefectural_University","http://dbpedia.org/resource/Iwate_Prefectural_University","2016-06-24"
"10595761","American College of Radiology","grid.417949.6","http://www.acr.org/","http://en.wikipedia.org/wiki/American_College_of_Radiology","http://dbpedia.org/resource/American_College_of_Radiology","2016-06-24"
"10902133","James I University","grid.9612.c","http://www.uji.es/","http://en.wikipedia.org/wiki/Jaume_I_University","http://dbpedia.org/resource/Jaume_I_University","2016-06-24"
"11019714","University of A Coru&#x00F1;a","grid.8073.c","http://www.udc.gal/","http://en.wikipedia.org/wiki/University_of_A_Coruña","http://dbpedia.org/resource/University_of_A_Coruña","2016-06-24"
"13399601","Andover Newton Theological School","grid.461981.3","http://www.ants.edu/","http://en.wikipedia.org/wiki/Andover_Newton_Theological_School","http://dbpedia.org/resource/Andover_Newton_Theological_School","2016-06-24"
"17170469","Solvay","","http://www.solvay.com/","http://en.wikipedia.org/wiki/Solvay_S.A.","http://dbpedia.org/resource/Solvay_S.A.","2016-06-24"
"24715933","University of La R&#x00E9;union","grid.11642.30","http://www.univ-reunion.fr/university-of-reunion-island/","http://en.wikipedia.org/wiki/University_of_La_Réunion","http://dbpedia.org/resource/University_of_La_Réunion","2016-06-24"
"27963644","HHL Leipzig Graduate School of Management","grid.461621.6","http://www.hhl.de/","http://en.wikipedia.org/wiki/HHL_Leipzig_Graduate_School_of_Management","http://dbpedia.org/resource/HHL_Leipzig_Graduate_School_of_Management","2016-06-24"
"28304128","Alcoa","grid.466540.5","http://alcoa.com/","http://en.wikipedia.org/wiki/Alcoa","http://dbpedia.org/resource/Alcoa","2016-06-24"
"29739308","Guangxi Normal University","grid.459584.1","http://www.gxnu.edu.cn/","http://en.wikipedia.org/wiki/Guangxi_Normal_University","http://dbpedia.org/resource/Guangxi_Normal_University","2016-06-24"
"31637741","Inner Mongolia University of Science and Technology","grid.462400.4","http://www.imust.cn/","http://en.wikipedia.org/wiki/Inner_Mongolia_University_of_Science_and_Technology","http://dbpedia.org/resource/Inner_Mongolia_University_of_Science_and_Technology","2016-06-24"
"33003672","Indian Institute of Management Indore","grid.466775.1","http://www.iimidr.ac.in/","http://en.wikipedia.org/wiki/Indian_Institute_of_Management_Indore","http://dbpedia.org/resource/Indian_Institute_of_Management_Indore","2016-06-24"
"34771391","University of Cyprus","grid.6603.3","http://www.ucy.ac.cy/","http://en.wikipedia.org/wiki/University_of_Cyprus","http://dbpedia.org/resource/University_of_Cyprus","2016-06-24"
"41458283","Federal University of Tocantins","","http://www.uft.edu.br/","http://en.wikipedia.org/wiki/Federal_University_of_Tocantins","http://dbpedia.org/resource/Federal_University_of_Tocantins","2016-06-24"
"47807185","Saigon University","grid.449531.e","http://www.sgu.edu.vn/","http://en.wikipedia.org/wiki/Saigon_University","http://dbpedia.org/resource/Saigon_University","2016-06-24"
"55862774","West Bengal State University","grid.419478.7","http://www.wbsubregistration.org/","http://en.wikipedia.org/wiki/West_Bengal_State_University","http://dbpedia.org/resource/West_Bengal_State_University","2016-06-24"
"70745867","KLA-Tencor","grid.462481.d","http://www.kla-tencor.com/","http://en.wikipedia.org/wiki/KLA-Tencor","http://dbpedia.org/resource/KLA-Tencor","2016-06-24"
"76214153","Lanzhou University","grid.32566.34","http://www.lzu.edu.cn/","http://en.wikipedia.org/wiki/Lanzhou_University","http://dbpedia.org/resource/Lanzhou_University","2016-06-24"
"79238269","University of Seville","grid.9224.d","http://www.us.es/eng","http://en.wikipedia.org/wiki/University_of_Seville","http://dbpedia.org/resource/University_of_Seville","2016-06-24"
"88713005","Fachhochschule Flensburg","grid.454232.6","http://www.hs-flensburg.de/","http://en.wikipedia.org/wiki/Fachhochschule_Flensburg","http://dbpedia.org/resource/Fachhochschule_Flensburg","2016-06-24"
"89470330","Merial","","http://www.merial.com/","http://en.wikipedia.org/wiki/Merial","http://dbpedia.org/resource/Merial","2016-06-24"
"90329211","Ulyanovsk State Technical University","grid.446273.0","http://ulstu.ru/","http://en.wikipedia.org/wiki/Ulyanovsk_State_Technical_University","http://dbpedia.org/resource/Ulyanovsk_State_Technical_University","2016-06-24"
"98251732","McMaster University","grid.25073.33","http://www.mcmaster.ca/","http://en.wikipedia.org/wiki/McMaster_University","http://dbpedia.org/resource/McMaster_University","2016-06-24"
"99490713","Stetson University","grid.469493.5","http://www.stetson.edu/","http://en.wikipedia.org/wiki/Stetson_University","http://dbpedia.org/resource/Stetson_University","2016-06-24"
"115570527","Dublin Institute of Technology","grid.33695.3a","http://www.dit.ie/","http://en.wikipedia.org/wiki/Dublin_Institute_of_Technology","http://dbpedia.org/resource/Dublin_Institute_of_Technology","2016-06-24"
"122754167","MediGene","grid.487265.a","http://www.medigene.com/","http://en.wikipedia.org/wiki/MediGene","http://dbpedia.org/resource/MediGene","2016-06-24"
"126520041","University of Science and Technology of China","grid.59053.3a","http://en.ustc.edu.cn/","http://en.wikipedia.org/wiki/University_of_Science_and_Technology_of_China","http://dbpedia.org/resource/University_of_Science_and_Technology_of_China","2016-06-24"
"126688049","The Dartmouth Institute for Health Policy and Clinical Practice","grid.414049.c","http://tdi.dartmouth.edu/","http://en.wikipedia.org/wiki/The_Dartmouth_Institute_for_Health_Policy_and_Clinical_Practice","http://dbpedia.org/resource/The_Dartmouth_Institute_for_Health_Policy_and_Clinical_Practice","2016-06-24"
"137459256","Hyogo College of Medicine","grid.272264.7","http://www.hyo-med.ac.jp/","http://en.wikipedia.org/wiki/Hyogo_College_of_Medicine","http://dbpedia.org/resource/Hyogo_College_of_Medicine","2016-06-24"
