"id","name","ispartof","location","homepage","timeline.owl#start","timeline.owl#end","abstractregistrationdate","notificationduedate","submissiondeadlinedate","finalversionduedate","created"
"2890219109","CyberC 2018","1131680737","http://dbpedia.org/resource/Zhengzhou","http://www.cyberc.org","2018-10-18","2018-10-20",NULL,NULL,"2018-07-20",NULL,"2018-09-27"
"2994448530","ICFP 2019","1162793720","http://dbpedia.org/resource/Berlin","https://icfp19.sigplan.org/home","2019-08-19","2019-08-21",NULL,"2019-05-03","2019-03-01",NULL,"2019-12-13"
"3542290","TLCA 2011","1193547897","http://dbpedia.org/resource/Novi_Sad","http://www.rdp2011.uns.ac.rs/tlca/index.html","2011-06-01","2011-06-03","2011-01-26","2011-03-23","2011-02-02","2011-04-03","2016-06-24"
"15282931","STOC 2009","1190910084","http://dbpedia.org/resource/Bethesda,_Maryland","http://www.umiacs.umd.edu/conferences/stoc2009/","2009-05-31","2009-06-02",NULL,NULL,"2008-11-17",NULL,"2016-06-24"
"38427465","APWEB 2011","1140082307","http://dbpedia.org/resource/Beijing","http://deke.ruc.edu.cn/ApWeb2011/index.htm","2011-04-18","2011-04-20","2010-10-20","2010-12-15","2010-10-27","2011-01-15","2016-06-24"
"45494288","EC 2012","1174915412","http://dbpedia.org/resource/Valencia","http://www.sigecom.org/ec12/","2012-06-04","2012-06-08",NULL,NULL,"2012-02-06",NULL,"2016-06-24"
"72786353","DSN 2009","1187160151","http://dbpedia.org/resource/Estoril","http://www.dsn.org/","2009-06-29","2009-07-02","2008-12-08",NULL,"2008-12-15",NULL,"2016-06-24"
"78742931","STACS 2013","1178070762","http://dbpedia.org/resource/Kiel","http://www.stacs2013.uni-kiel.de","2013-02-27","2013-03-02",NULL,"2012-12-07","2012-09-21","2013-01-09","2016-06-24"
"80230292","ICFCA 2010","1125063881","http://dbpedia.org/resource/Agadir","http://w3.uqo.ca/icfca10","2010-03-15","2010-03-18","2009-10-02",NULL,"2009-10-15",NULL,"2016-06-24"
"130059510","GLOBECOM 2012","1131420910","http://dbpedia.org/resource/Anaheim,_California","http://www.ieee-globecom.org/2012/","2012-12-03","2012-12-07",NULL,"2012-07-01","2012-03-30","2012-08-01","2016-06-24"
"158237137","MONAMI 2010","2759564365","http://dbpedia.org/resource/Santander,_Spain","http://www.mon-ami.org ","2010-09-20","2010-09-22",NULL,"2010-06-15","2010-04-30","2010-07-15","2016-06-24"
"159411055","TAP 2014","1129775427","http://dbpedia.org/resource/York","http://www.tap2014.org","2014-07-24","2014-07-25","2014-02-25",NULL,"2014-03-01",NULL,"2016-06-24"
"162092374","INAP 2009","1197778485","http://dbpedia.org/resource/Évora","http://www.di.uevora.pt/inap2009/","2009-11-05","2009-11-07",NULL,"2009-08-17","2009-07-13","2009-09-14","2016-06-24"
"176465024","MobiCom 2012","1123349196","http://dbpedia.org/resource/Istanbul","http://www.sigmobile.org/mobicom/2012/","2012-08-22","2012-08-26","2012-03-02","2012-06-06","2012-03-09","2012-07-02","2016-06-24"
"201680856","e-Forensics 2008","2758387012","http://dbpedia.org/resource/Adelaide","http://www.e-forensics.eu/","2008-01-21","2008-01-23",NULL,NULL,"2007-09-28",NULL,"2016-06-24"
"202481909","ICMCS 2014","1203986124","http://dbpedia.org/resource/Marrakesh","http://www.med-space.org/icmcs/","2014-04-14","2014-04-16",NULL,"2014-01-15","2013-12-15","2014-01-30","2016-06-24"
"203931592","ISSCC 2008","1183230087","http://dbpedia.org/resource/San_Francisco","http://www.isscc.org/isscc/","2008-02-03","2008-02-07",NULL,NULL,"2007-09-17",NULL,"2016-06-24"
"578333233","EUC 2015","1159702908","http://dbpedia.org/resource/Porto","http://paginas.fe.up.pt/euc2015/","2015-10-21","2015-10-23",NULL,"2015-07-24","2015-06-01","2015-09-04","2016-06-24"
"629484215","IRI 2009","1152899250","http://dbpedia.org/resource/Las_Vegas","http://iri2009.cpsc.ucalgary.ca/","2009-08-10","2009-08-12",NULL,"2009-05-20","2009-03-29","2009-06-15","2016-06-24"
